bug: apr_pstrmemdup in ap_process_fnmatch_configs, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: ap_escape_errorlog_item in ifsection, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_scan_script_header_err_brigade, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_dump_mutexes, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in filesection, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_add_input_filter_handle, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_build_config_sub, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in request_var_fn, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_send_error_response, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_run_sub_req, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_sub_req_method_uri, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in set_limit_cpu, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_limit_section, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: apr_strerror in log_apr_status, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 99.32%
bug: ap_escape_errorlog_item in log_env_var, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_varbuf_grow, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_add_module, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in signal_threads, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in core_map_to_storage, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_escape_errorlog_item in ap_expr_str_exec_re, pair: (ap_escape_errorlog_item, apr_strerror), support: 146, confidence: 68.87%
bug: ap_get_request_note in ap_location_walk, pair: (ap_get_request_note, apr_file_puts), support: 12, confidence: 80.00%
bug: ap_get_request_note in ap_file_walk, pair: (ap_get_request_note, apr_file_puts), support: 12, confidence: 80.00%
bug: ap_get_request_note in prep_walk_cache, pair: (ap_get_request_note, apr_file_puts), support: 12, confidence: 80.00%
bug: apr_pollset_add in process_socket, pair: (apr_atomic_cas32, apr_pollset_add), support: 5, confidence: 83.33%
bug: apr_table_unset in ap_sub_req_lookup_uri, pair: (apr_snprintf, apr_table_unset), support: 18, confidence: 78.26%
bug: apr_table_unset in make_sub_request, pair: (apr_snprintf, apr_table_unset), support: 18, confidence: 78.26%
bug: apr_table_unset in ap_set_sub_req_protocol, pair: (apr_snprintf, apr_table_unset), support: 18, confidence: 78.26%
bug: apr_table_unset in unset_define, pair: (apr_snprintf, apr_table_unset), support: 18, confidence: 78.26%
bug: apr_table_unset in ap_byterange_filter, pair: (apr_snprintf, apr_table_unset), support: 18, confidence: 78.26%
bug: ap_run_quick_handler in ap_http_header_filter, pair: (ap_run_quick_handler, apr_pool_create_ex), support: 13, confidence: 86.67%
bug: ap_run_quick_handler in ap_run_sub_req, pair: (ap_run_quick_handler, apr_pool_create_ex), support: 13, confidence: 86.67%
bug: apr_brigade_length in ap_check_pipeline, pair: (ap_recent_ctime_ex, apr_brigade_length), support: 4, confidence: 66.67%
bug: apr_brigade_length in ap_http_filter, pair: (ap_recent_ctime_ex, apr_brigade_length), support: 4, confidence: 66.67%
bug: ap_getparents in ap_http_header_filter, pair: (ap_getparents, apr_pool_destroy), support: 16, confidence: 88.89%
bug: ap_getparents in ap_read_request, pair: (ap_getparents, apr_pool_destroy), support: 16, confidence: 88.89%
bug: apr_table_clear in core_upgrade_handler, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_clear in ap_send_interim_response, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_clear in ap_http_filter, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in ap_create_environment, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_clear in core_upgrade_storage, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in ap_add_common_vars, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in ap_fcgi_encode_env, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in ap_fcgi_encoded_env_len, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_clear in ap_send_error_response, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in check_headers_table, pair: (apr_table_clear, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_setn in ap_set_etag, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_make_etag, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_location_walk, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_set_keepalive, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_add_cgi_vars, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_send_http_options, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_sub_req_lookup_uri, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_set_accept_ranges, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in set_accf_map, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_file_walk, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in create_core_server_config, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_byterange_filter, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_set_content_length, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_set_last_modified, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in ap_expr_str_exec, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: apr_table_setn in set_define, pair: (apr_snprintf, apr_table_setn), support: 75, confidence: 82.42%
bug: ap_regexec_len in ap_rxplus_exec, pair: (ap_expr_exec_ctx, ap_regexec_len), support: 7, confidence: 70.00%
bug: ap_regexec_len in ap_expr_eval, pair: (ap_expr_exec_ctx, ap_regexec_len), support: 7, confidence: 70.00%
bug: ap_regexec_len in ap_expr_exec_ctx, pair: (ap_expr_exec_ctx, ap_regexec_len), support: 7, confidence: 70.00%
bug: apr_table_clear in ap_send_interim_response, pair: (apr_array_push, apr_table_clear), support: 13, confidence: 86.67%
bug: apr_table_clear in ap_http_filter, pair: (apr_array_push, apr_table_clear), support: 13, confidence: 86.67%
bug: apr_uri_parse_hostinfo in ap_add_cgi_vars, pair: (apr_uri_parse_hostinfo, syslog), support: 13, confidence: 81.25%
bug: apr_uri_parse_hostinfo in ap_sub_req_lookup_uri, pair: (apr_uri_parse_hostinfo, syslog), support: 13, confidence: 81.25%
bug: apr_uri_parse_hostinfo in ap_parse_uri, pair: (apr_uri_parse_hostinfo, syslog), support: 13, confidence: 81.25%
bug: ap_index_of_response in ap_http_header_filter, pair: (ap_index_of_response, apr_pstrndup), support: 8, confidence: 66.67%
bug: ap_index_of_response in ap_custom_response, pair: (ap_index_of_response, apr_pstrndup), support: 8, confidence: 66.67%
bug: ap_index_of_response in set_error_document, pair: (ap_index_of_response, apr_pstrndup), support: 8, confidence: 66.67%
bug: ap_index_of_response in ap_read_request, pair: (ap_index_of_response, apr_pstrndup), support: 8, confidence: 66.67%
bug: ap_index_of_response in ap_custom_response, pair: (ap_escape_errorlog_item, ap_index_of_response), support: 11, confidence: 91.67%
bug: apr_os_file_get in ap_mpm_podx_check, pair: (apr_cpystrn, apr_os_file_get), support: 3, confidence: 75.00%
bug: apr_table_get in log_note, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_condition_if_none_match, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_build_cont_config, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in req_header_var_fn, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_meets_conditions, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in start_cond_section, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_get_basic_auth_components, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_set_keepalive, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_condition_if_modified_since, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in log_header, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_add_cgi_vars, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in env_func, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_request_has_body, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_condition_if_unmodified_since, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_sub_req_lookup_uri, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in process_command_config, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_create_environment, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in make_sub_request, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in core_dump_config, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_set_sub_req_protocol, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_lingering_close, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_build_config, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in req_table_func, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_condition_if_range, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_byterange_filter, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_condition_if_match, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in basic_http_header_check, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in log_env_var, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_parse_form_data, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: apr_table_get in ap_expr_str_exec, pair: (apr_table_get, apr_vsnprintf), support: 209, confidence: 87.45%
bug: getenv in env_func, pair: (getenv, strlen), support: 14, confidence: 77.78%
bug: getenv in osenv_func, pair: (getenv, strlen), support: 14, confidence: 77.78%
bug: getenv in ap_create_environment, pair: (getenv, strlen), support: 14, confidence: 77.78%
bug: getenv in ap_register_hooks, pair: (getenv, strlen), support: 14, confidence: 77.78%
bug: ap_get_scoreboard_process in ap_get_sload, pair: (ap_get_scoreboard_process, apr_snprintf), support: 4, confidence: 80.00%
bug: apr_procattr_cmdtype_set in ap_open_piped_log, pair: (apr_procattr_cmdtype_set, strrchr), support: 7, confidence: 87.50%
bug: apr_shm_detach in ap_reopen_scoreboard, pair: (apr_pollset_create_ex, apr_shm_detach), support: 3, confidence: 75.00%
bug: ap_index_of_response in ap_http_header_filter, pair: (ap_index_of_response, apr_hash_first), support: 8, confidence: 66.67%
bug: ap_index_of_response in ap_process_request, pair: (ap_index_of_response, apr_hash_first), support: 8, confidence: 66.67%
bug: ap_index_of_response in ap_custom_response, pair: (ap_index_of_response, apr_hash_first), support: 8, confidence: 66.67%
bug: ap_index_of_response in set_error_document, pair: (ap_index_of_response, apr_hash_first), support: 8, confidence: 66.67%
bug: ap_scan_vchar_obstext in check_headers_table, pair: (ap_escape_html2, ap_scan_vchar_obstext), support: 3, confidence: 75.00%
bug: apr_psprintf in load_module, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_expr_parse_cmd_mi, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_varbuf_regsub, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in virtualhost_section, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in process_socket, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_expr_parse, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_construct_server, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_rxplus_compile, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in ap_expr_yyparse, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in expr_lookup_not_found, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_get_token, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in ap_rxplus_exec, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in worker_thread, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_get_basic_auth_components, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in ap_add_loaded_module, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in file_func, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_os_create_privileged_process, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in dso_load, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in http_post_config, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_getword_white_nc, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in ap_getword_nulls_nc, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in ap_signal_server, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_getword_nc, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in core_insert_filter, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in ap_getword, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in ap_pregsub, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in ap_set_keepalive, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in process_resource_config_cb, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_parse_vhost_addrs, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in ap_add_cgi_vars, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in ap_set_mutex, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in load_file, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_setup_prelinked_modules, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_sub_req_lookup_uri, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in set_regex_default_options, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_proc_mutex_create, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_pregsub_ex, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in ap_dir_nofnmatch, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in regsub_core, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in ap_init_virtual_host, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in set_errorlog_format, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in misc_var_fn, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_pcfg_strerror, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in set_error_document, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in filesize_func, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_construct_url, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in parse_errorlog_item, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in main, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in set_sethandler, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_soak_end_container, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_global_mutex_create, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in core_expr_lookup, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_resolve_env, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in ap_field_noparam, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in ifsection, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_append_pid, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in set_document_root, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_set_int_slot, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_build_config_sub, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in request_var_fn, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_psprintf in ap_expr_yylex, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_get_exec_line, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in ap_read_config, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_getword_nulls, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_pstrmemdup in ap_parse_form_data, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in set_loglevel, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_getword_white, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_psprintf in ap_add_module, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 68.46%
bug: apr_pstrmemdup in ap_make_dirstr_parent, pair: (apr_psprintf, apr_pstrmemdup), support: 89, confidence: 76.07%
bug: apr_table_clear in core_upgrade_handler, pair: (ap_finalize_request_protocol, apr_table_clear), support: 10, confidence: 66.67%
bug: apr_table_clear in ap_send_interim_response, pair: (ap_finalize_request_protocol, apr_table_clear), support: 10, confidence: 66.67%
bug: apr_table_clear in ap_http_filter, pair: (ap_finalize_request_protocol, apr_table_clear), support: 10, confidence: 66.67%
bug: apr_table_clear in core_upgrade_storage, pair: (ap_finalize_request_protocol, apr_table_clear), support: 10, confidence: 66.67%
bug: apr_table_clear in ap_send_error_response, pair: (ap_finalize_request_protocol, apr_table_clear), support: 10, confidence: 66.67%
bug: kill in close_listeners, pair: (kill, strrchr), support: 13, confidence: 92.86%
bug: ap_run_child_status in event_note_child_killed, pair: (ap_run_child_status, exit), support: 6, confidence: 75.00%
bug: ap_run_child_status in event_note_child_started, pair: (ap_run_child_status, exit), support: 6, confidence: 75.00%
bug: ap_regexec in ap_rxplus_exec, pair: (ap_regexec, apr_pstrcat), support: 13, confidence: 81.25%
bug: ap_regexec in ap_sub_req_lookup_uri, pair: (ap_regexec, apr_pstrcat), support: 13, confidence: 81.25%
bug: ap_regexec in op_file_subr, pair: (ap_regexec, apr_pstrcat), support: 13, confidence: 81.25%
bug: ap_get_request_note in ap_location_walk, pair: (ap_get_request_note, apr_table_get), support: 12, confidence: 80.00%
bug: ap_get_request_note in ap_file_walk, pair: (ap_get_request_note, apr_table_get), support: 12, confidence: 80.00%
bug: ap_get_request_note in prep_walk_cache, pair: (ap_get_request_note, apr_table_get), support: 12, confidence: 80.00%
bug: setsockopt in ap_listen_pre_config, pair: (apr_table_get, setsockopt), support: 13, confidence: 92.86%
bug: ap_run_quick_handler in op_url_subr, pair: (ap_run_quick_handler, ap_send_error_response), support: 10, confidence: 66.67%
bug: ap_run_quick_handler in ap_add_cgi_vars, pair: (ap_run_quick_handler, ap_send_error_response), support: 10, confidence: 66.67%
bug: ap_run_quick_handler in ap_sub_req_lookup_uri, pair: (ap_run_quick_handler, ap_send_error_response), support: 10, confidence: 66.67%
bug: ap_run_quick_handler in ap_run_sub_req, pair: (ap_run_quick_handler, ap_send_error_response), support: 10, confidence: 66.67%
bug: ap_run_quick_handler in ap_sub_req_method_uri, pair: (ap_run_quick_handler, ap_send_error_response), support: 10, confidence: 66.67%
bug: ap_get_request_note in ap_location_walk, pair: (ap_get_request_note, apr_vsnprintf), support: 12, confidence: 80.00%
bug: ap_get_request_note in ap_file_walk, pair: (ap_get_request_note, apr_vsnprintf), support: 12, confidence: 80.00%
bug: ap_get_request_note in prep_walk_cache, pair: (ap_get_request_note, apr_vsnprintf), support: 12, confidence: 80.00%
bug: ap_unescape_url in op_url_subr, pair: (ap_index_of_response, ap_unescape_url), support: 10, confidence: 83.33%
bug: ap_unescape_url in ap_add_cgi_vars, pair: (ap_index_of_response, ap_unescape_url), support: 10, confidence: 83.33%
bug: ap_index_of_response in ap_custom_response, pair: (ap_index_of_response, ap_unescape_url), support: 10, confidence: 83.33%
bug: ap_index_of_response in set_error_document, pair: (ap_index_of_response, ap_unescape_url), support: 10, confidence: 83.33%
bug: apr_os_thread_current in log_tid, pair: (apr_file_puts, apr_os_thread_current), support: 209, confidence: 99.52%
bug: apr_thread_create in start_threads, pair: (apr_thread_create, apr_thread_mutex_create), support: 3, confidence: 75.00%
bug: ap_create_request_config in op_url_subr, pair: (ap_create_request_config, apr_fnmatch), support: 8, confidence: 66.67%
bug: ap_create_request_config in ap_http_header_filter, pair: (ap_create_request_config, apr_fnmatch), support: 8, confidence: 66.67%
bug: ap_create_request_config in ap_add_cgi_vars, pair: (ap_create_request_config, apr_fnmatch), support: 8, confidence: 66.67%
bug: ap_create_request_config in ap_read_request, pair: (ap_create_request_config, apr_fnmatch), support: 8, confidence: 66.67%
bug: apr_pstrcatv in ap_varbuf_pdup, pair: (apr_pstrcatv, apr_table_get), support: 10, confidence: 66.67%
bug: apr_pstrcatv in ap_expr_eval_word, pair: (apr_pstrcatv, apr_table_get), support: 10, confidence: 66.67%
bug: apr_pstrcatv in ap_expr_eval_comp, pair: (apr_pstrcatv, apr_table_get), support: 10, confidence: 66.67%
bug: apr_pstrcatv in ap_expr_eval, pair: (apr_pstrcatv, apr_table_get), support: 10, confidence: 66.67%
bug: apr_pstrcatv in ap_make_content_type, pair: (apr_pstrcatv, apr_table_get), support: 10, confidence: 66.67%
bug: apr_pool_userdata_set in ap_unixd_mpm_get_retained_data, pair: (apr_file_flush, apr_pool_userdata_set), support: 5, confidence: 71.43%
bug: apr_pool_userdata_set in ap_retained_data_create, pair: (apr_file_flush, apr_pool_userdata_set), support: 5, confidence: 71.43%
bug: apr_pool_pre_cleanup_register in ap_unixd_mpm_get_retained_data, pair: (ap_find_module_short_name, apr_pool_pre_cleanup_register), support: 10, confidence: 83.33%
bug: apr_pool_pre_cleanup_register in ap_bucket_eor_create, pair: (ap_find_module_short_name, apr_pool_pre_cleanup_register), support: 10, confidence: 83.33%
bug: ap_run_post_read_request in ap_http_header_filter, pair: (ap_expr_exec, ap_run_post_read_request), support: 8, confidence: 80.00%
bug: ap_run_post_read_request in ap_read_request, pair: (ap_expr_exec, ap_run_post_read_request), support: 8, confidence: 80.00%
bug: apr_socket_bind in make_sock, pair: (apr_socket_bind, log_error_core), support: 3, confidence: 75.00%
bug: ap_get_request_note in ap_location_walk, pair: (ap_get_request_note, apr_time_now), support: 12, confidence: 80.00%
bug: ap_get_request_note in ap_file_walk, pair: (ap_get_request_note, apr_time_now), support: 12, confidence: 80.00%
bug: ap_get_request_note in prep_walk_cache, pair: (ap_get_request_note, apr_time_now), support: 12, confidence: 80.00%
bug: log_backtrace in op_url_subr, pair: (apr_bucket_eos_create, log_backtrace), support: 6, confidence: 75.00%
bug: log_backtrace in ap_add_cgi_vars, pair: (apr_bucket_eos_create, log_backtrace), support: 6, confidence: 75.00%
bug: apr_table_elts in ap_create_environment, pair: (ap_if_walk_sub, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in ap_add_common_vars, pair: (ap_if_walk_sub, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in ap_fcgi_encode_env, pair: (ap_if_walk_sub, apr_table_elts), support: 10, confidence: 66.67%
